"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"1318","DEARBORN COUNTY HOSPITAL","LAWRENCEBURG","IN","DEARBORN","84","56","181","193","280","287"
"1319","SAINT JOHN'S HEALTH SYSTEM","ANDERSON","IN","MADISON","130","81","303","355","485","483"
"1320","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","MUNCIE","IN","DELAWARE","439","431","729","893","746","764"
"1321","FRANCISCAN ST MARGARET HEALTH - DYER","DYER","IN","LAKE","158","150","389","464","259","254"
"1322","PARKVIEW HUNTINGTON HOSPITAL","HUNTINGTON","IN","HUNTINGTON","8","6","89","109","119","128"
"1323","MAJOR HOSPITAL","SHELBYVILLE","IN","SHELBY","22","14","151","159","281","298"
"1324","ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","EVANSVILLE","IN","VANDERBURGH","320","330","511","606","491","522"
"1325","PARKVIEW WHITLEY HOSPITAL","COLUMBIA CITY","IN","WHITLEY","7","4","69","72","96","97"
"1326","INDIANA UNIVERSITY HEALTH STARKE HOSPITAL","KNOX","IN","STARKE","21","13","53","67","129","129"
"1327","WITHAM HEALTH SERVICES","LEBANON","IN","BOONE","45","45","127","163","135","151"
"1328","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST","LAFAYETTE","IN","TIPPECANOE","139","147","154","179","114","116"
"1329","COLUMBUS REGIONAL HOSPITAL","COLUMBUS","IN","BARTHOLOMEW","271","277","311","381","310","335"
"1330","COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","ANDERSON","IN","MADISON","88","64","376","437","442","449"
"1331","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","JASPER","IN","DUBOIS","179","180","339","413","358","366"
"1332","COMMUNITY HOSPITAL","MUNSTER","IN","LAKE","279","258","1335","1692","731","733"
"1333","FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","CROWN POINT","IN","LAKE","254","229","663","791","522","519"
"1334","COMMUNITY HOSPITAL SOUTH","INDIANAPOLIS","IN","MARION","137","155","314","383","324","349"
"1335","WESTVIEW HOSPITAL","INDIANAPOLIS","IN","MARION","17","10","96","107","117","119"
"1336","KOSCIUSKO COMMUNITY HOSPITAL","WARSAW","IN","KOSCIUSKO","74","41","181","204","215","213"
"1337","PARKVIEW NOBLE HOSPITAL","KENDALLVILLE","IN","NOBLE","18","12","81","101","166","168"
"1338","WOMEN'S HOSPITAL THE","NEWBURGH","IN","WARRICK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1339","DUPONT HOSPITAL LLC","FORT WAYNE","IN","ALLEN","10","5","35","44","62","68"
"1340","ST VINCENT HEART CENTER OF INDIANA LLC","INDIANAPOLIS","IN","HAMILTON","958","1251","503","745","25","29"
"1341","INDIANA HEART HOSPITAL THE","INDIANAPOLIS","IN","MARION","239","349","373","568","25","31"
"1342","ST VINCENT CARMEL HOSPITAL INC","CARMEL","IN","HAMILTON","8","7","52","64","70","71"
"1343","IU HEALTH WEST HOSPITAL","AVON","IN","HENDRICKS","108","102","229","260","326","338"
"1344","INDIANA ORTHOPAEDIC HOSPITAL LLC","INDIANAPOLIS","IN","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1345","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","CARMEL","IN","HAMILTON","38","34","90","99","97","101"
"1346","FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","INDIANAPOLIS","IN","MARION","526","548","631","770","263","299"
"1347","SAINT CATHERINE REGIONAL HOSPITAL","CHARLESTOWN","IN","CLARK","5","2","59","66","103","118"
"1348","MONROE HOSPITAL","BLOOMINGTON","IN","MONROE","8","6","64","84","90","95"
"1349","FRANCISCAN PHYSICIANS HOSPITAL LLC","MUNSTER","IN","LAKE","13","13","74","85","54","54"
"1350","PINNACLE HOSPITAL","CROWN POINT","IN","LAKE","1","Not Available","33","45","40","46"
"1351","ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC","FORT WAYNE","IN","ALLEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1352","THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","FT WAYNE","IN","ALLEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1353","COMMUNITY HOSPITAL NORTH","INDIANAPOLIS","IN","MARION","26","18","212","241","436","440"
"1354","PHYSICIANS' MEDICAL CENTER LLC","NEW ALBANY","IN","FLOYD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1355","INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","LAFAYETTE","IN","TIPPECANOE","167","156","259","286","331","352"
"1356","THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","NEWBURGH","IN","WARRICK","134","174","72","97","7","8"
"1357","KENTUCKIANA MEDICAL CENTER LLC","CLARKSVILLE","IN","CLARK","15","19","41","52","41","44"
"1358","UNITY MEDICAL AND SURGICAL HOSPITAL","MISHAWAKA","IN","ST JOSEPH","Not Available","Not Available","3","3","11","11"
"1359","CANCER CARE PARTNERS LLC","MISHAWAKA","IN","ST JOSEPH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1360","COMMUNITY HOSPITAL OF BREMEN INC","BREMEN","IN","MARSHALL","8","5","34","38","42","42"
"1361","ST VINCENT RANDOLPH HOSPITAL INC","WINCHESTER","IN","RANDOLPH","7","6","84","105","140","150"
"1362","INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL","HARTFORD CITY","IN","BLACKFORD","6","3","80","84","117","120"
"1363","ST VINCENT JENNINGS HOSPITAL INC","NORTH VERNON","IN","JENNINGS","9","3","25","30","77","80"
"1364","RUSH MEMORIAL HOSPITAL","RUSHVILLE","IN","RUSH","7","7","58","65","145","165"
"1365","PULASKI MEMORIAL HOSPITAL","WINAMAC","IN","PULASKI","18","13","51","60","81","82"
"1366","INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL","PAOLI","IN","ORANGE","8","12","29","44","78","88"
"1367","ST VINCENT WILLIAMSPORT HOSPITAL INC","WILLIAMSPORT","IN","WARREN","9","7","100","119","130","139"
"1368","ST VINCENT MERCY HOSPITAL","ELWOOD","IN","MADISON","4","5","50","53","109","112"
"1369","ST VINCENT CLAY HOSPITAL INC","BRAZIL","IN","CLAY","8","5","78","93","60","56"
"1370","WABASH COUNTY HOSPITAL","WABASH","IN","WABASH","17","10","58","67","87","87"
"1371","INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC","TIPTON","IN","TIPTON","14","5","90","99","152","159"
"1372","INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL","MONTICELLO","IN","WHITE","10","7","81","98","144","145"
"1373","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","ANGOLA","IN","STEUBEN","5","3","78","87","100","101"
"1374","ST VINCENT FRANKFORT HOSPITAL INC","FRANKFORT","IN","CLINTON","9","8","70","77","93","106"
"1375","GREENE COUNTY GENERAL HOSPITAL","LINTON","IN","GREENE","7","5","136","159","125","128"
"1376","DUKES MEMORIAL HOSPITAL","PERU","IN","MIAMI","34","22","84","96","126","132"
"1377","GIBSON GENERAL HOSPITAL","PRINCETON","IN","GIBSON","16","7","33","40","84","78"
"1378","JAY COUNTY HOSPITAL","PORTLAND","IN","JAY","17","9","40","50","138","155"
"1379","PERRY COUNTY MEMORIAL HOSPITAL","TELL CITY","IN","PERRY","20","10","103","104","231","237"
"1380","PARKVIEW LAGRANGE HOSPITAL","LAGRANGE","IN","LAGRANGE","10","5","52","51","65","67"
"1381","JASPER COUNTY HOSPITAL","RENSSELAER","IN","JASPER","10","4","75","80","167","175"
"1382","ST MARY'S WARRICK HOSPITAL INC","BOONVILLE","IN","WARRICK","3","1","51","52","105","110"
"1383","UNION HOSPITAL CLINTON","CLINTON","IN","VERMILLION","12","2","94","113","128","149"
"1384","SULLIVAN COUNTY COMMUNITY HOSPITAL","SULLIVAN","IN","SULLIVAN","22","16","87","112","130","134"
"1385","INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL","BEDFORD","IN","LAWRENCE","90","65","99","115","222","224"
"1386","MARGARET MARY COMMUNITY HOSPITAL INC","BATESVILLE","IN","RIPLEY","17","12","116","125","222","218"
"1387","ADAMS MEMORIAL HOSPITAL","DECATUR","IN","ADAMS","42","30","140","150","172","176"
"1388","HARRISON COUNTY HOSPITAL","CORYDON","IN","HARRISON","28","17","78","81","217","225"
"1389","DECATUR COUNTY MEMORIAL HOSPITAL","GREENSBURG","IN","DECATUR","14","10","121","137","103","101"
"1390","PUTNAM COUNTY HOSPITAL","GREENCASTLE","IN","PUTNAM","9","9","64","73","196","192"
"1391","SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL","SCOTTSBURG","IN","SCOTT","8","4","62","69","181","189"
"1392","ST VINCENT DUNN HOSPITAL INC","BEDFORD","IN","LAWRENCE","138","132","139","167","174","190"
"1393","MARSHALLTOWN MEDICAL & SURGICAL CENTER","MARSHALLTOWN","IA","MARSHALL","72","65","168","179","298","296"
"1394","ST ANTHONY REGIONAL HOSPITAL","CARROLL","IA","CARROLL","22","14","102","106","178","187"
"1395","KEOKUK AREA HOSPITAL","KEOKUK","IA","LEE","55","30","190","208","213","201"
"1396","TRINITY MUSCATINE","MUSCATINE","IA","MUSCATINE","35","17","91","96","143","146"
"1397","TRINITY REGIONAL MEDICAL CENTER","FORT DODGE","IA","WEBSTER","274","286","379","448","420","468"
"1398","IOWA LUTHERAN HOSPITAL","DES MOINES","IA","POLK","146","139","297","339","249","256"
"1399","ALEGENT HEALTH MERCY HOSPITAL","COUNCIL BLUFFS","IA","POTTAWATTAMIE","90","81","153","178","196","211"
"1400","MERCY HOSPITAL","IOWA CITY","IA","JOHNSON","287","308","381","437","275","298"
"1401","MARY GREELEY MEDICAL CENTER","AMES","IA","STORY","223","222","325","402","386","414"
"1402","SKIFF MEDICAL CENTER","NEWTON","IA","JASPER","21","14","121","132","126","120"
"1403","GENESIS MEDICAL CENTER-DAVENPORT","DAVENPORT","IA","SCOTT","522","638","743","943","860","908"
"1404","VA CENTRAL IOWA HEALTHCARE SYSTEM","DES MOINES                    ","IA","POLK","23","21","87","94","129","138"
"1405","SARTORI MEMORIAL HOSPITAL","CEDAR FALLS","IA","BLACK HAWK","16","12","50","54","104","102"
"1406","ST LUKES HOSPITAL","CEDAR RAPIDS","IA","LINN","336","370","431","506","540","604"
"1407","JENNIE EDMUNDSON HOSPITAL","COUNCIL BLUFFS","IA","POTTAWATTAMIE","125","117","186","201","367","366"
"1408","IOWA CITY VA MEDICAL CENTER","IOWA CITY                     ","IA","JOHNSON","69","87","141","171","118","133"
"1409","GREAT RIVER MEDICAL CENTER","WEST BURLINGTON","IA","DES MOINES","252","240","242","276","240","248"
"1410","UNIVERSITY OF IOWA HOSPITAL & CLINICS","IOWA CITY","IA","JOHNSON","174","220","290","374","189","230"
"1411","MERCY MEDICAL CENTER-NORTH IOWA","MASON CITY","IA","CERRO GORDO","446","472","618","746","555","618"
"1412","COVENANT MEDICAL CENTER","WATERLOO","IA","BLACK HAWK","81","89","231","255","231","246"
"1413","MERCY MEDICAL CENTER-DUBUQUE","DUBUQUE","IA","DUBUQUE","143","187","168","187","175","196"
"1414","MERCY MEDICAL CENTER - CEDAR RAPIDS","CEDAR RAPIDS","IA","LINN","277","263","430","474","596","658"
"1415","MERCY MEDICAL CENTER-CLINTON","CLINTON","IA","CLINTON","231","190","338","379","523","562"
"1416","IOWA METHODIST MEDICAL CENTER","DES MOINES","IA","POLK","451","488","563","652","475","484"
"1417","MERCY MEDICAL CENTER-DES MOINES","DES MOINES","IA","POLK","616","663","899","1055","929","989"
"1418","OTTUMWA REGIONAL HEALTH CENTER","OTTUMWA","IA","WAPELLO","116","95","214","246","237","254"
"1419","BROADLAWNS MEDICAL CENTER","DES MOINES","IA","POLK","2","Not Available","11","13","13","12"
"1420","TRINITY BETTENDORF","BETTENDORF","IA","SCOTT","55","61","90","114","133","146"
"1421","ALLEN MEMORIAL HOSPITAL","WATERLOO","IA","BLACK HAWK","383","368","485","591","425","476"
"1422","SPENCER MUNICIPAL HOSPITAL","SPENCER","IA","CLAY","26","14","119","126","281","284"
"1423","THE FINLEY HOSPITAL","DUBUQUE","IA","DUBUQUE","95","64","148","152","274","288"
"1424","FORT MADISON COMMUNITY HOSPITAL","FORT MADISON","IA","LEE","41","27","121","135","171","185"
"1425","LAKES REGIONAL HEALTHCARE","SPIRIT LAKE","IA","DICKINSON","15","9","80","83","236","252"
"1426","ST LUKES REGIONAL MEDICAL CENTER","SIOUX CITY","IA","WOODBURY","54","46","193","213","328","344"
"1427","GRINNELL REGIONAL MEDICAL CENTER","GRINNELL","IA","POWESHIEK","31","30","90","110","151","154"
"1428","MERCY MEDICAL CENTER-SIOUX CITY","SIOUX CITY","IA","WOODBURY","330","375","351","422","396","440"
"1429","BAUM HARMON MERCY HOSPITAL","PRIMGHAR","IA","OBRIEN","7","6","16","23","26","26"
"1430","BELMOND MEDICAL CENTER","BELMOND","IA","WRIGHT","9","3","13","14","45","52"
"1431","WRIGHT MEDICAL CENTER","CLARION","IA","WRIGHT","7","6","18","19","117","118"
"1432","GRUNDY COUNTY MEMORIAL HOSPITAL","GRUNDY CENTER","IA","GRUNDY","Not Available","Not Available","20","28","34","36"
"1433","ALEGENT HEALTH MERCY HOSPITAL","CORNING","IA","ADAMS","12","10","45","51","50","48"
"1434","JONES REGIONAL MEDICAL CENTER","ANAMOSA","IA","JONES","4","5","30","33","110","114"
"1435","HANCOCK COUNTY MEMORIAL HOSPITAL","BRITT","IA","HANCOCK","3","2","50","56","91","97"
"1436","FRANKLIN GENERAL HOSPITAL","HAMPTON","IA","FRANKLIN","2","1","19","23","53","47"
"1437","ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL","MISSOURI VALLEY","IA","HARRISON","15","9","55","68","141","142"
"1438","ADAIR COUNTY MEMORIAL HOSPITAL","GREENFIELD","IA","ADAIR","7","7","17","18","66","65"
"1439","HAWARDEN COMMUNITY HOSPITAL","HAWARDEN","IA","SIOUX","Not Available","Not Available","4","4","30","37"
"1440","GUTTENBERG MUNICIPAL HOSPITAL","GUTTENBERG","IA","CLAYTON","12","9","30","32","53","55"
"1441","GENESIS MEDICAL CENTER-DEWITT","DEWITT","IA","CLINTON","3","3","26","25","39","37"
"1442","PALMER LUTHERAN HEALTH CENTER","WEST UNION","IA","FAYETTE","9","10","28","40","75","82"
"1443","MARENGO MEMORIAL HOSPITAL","MARENGO","IA","IOWA","3","3","24","27","37","43"
"1444","VETERANS MEMORIAL HOSPITAL","WAUKON","IA","ALLAMAKEE","4","2","67","71","142","140"
"1445","CENTRAL COMMUNITY HOSPITAL","ELKADER","IA","CLAYTON","6","2","15","19","23","27"
"1446","COMMUNITY MEMORIAL HOSPITAL","SUMNER","IA","BREMER","3","2","24","28","55","56"
"1447","SANFORD HOSPITAL ROCK RAPIDS","ROCK RAPIDS","IA","LYON","3","4","21","21","44","44"
"1448","DALLAS COUNTY HOSPITAL","PERRY","IA","DALLAS","5","4","20","21","60","61"
"1449","GREENE COUNTY MEDICAL CENTER","JEFFERSON","IA","GREENE","4","4","36","38","72","76"
"1450","MADISON COUNTY MEMORIAL HOSPITAL","WINTERSET","IA","MADISON","7","7","49","57","128","149"
"1451","DAVIS COUNTY HOSPITAL","BLOOMFIELD","IA","DAVIS","6","3","67","81","79","77"
"1452","REGIONAL HEALTH SERVICES OF HOWARD COUNTY","CRESCO","IA","HOWARD","7","1","44","43","60","58"
"1453","JACKSON COUNTY REGIONAL HEALTH CENTER","MAQUOKETA","IA","JACKSON","5","4","21","24","69","71"
"1454","AUDUBON COUNTY MEMORIAL HOSPITAL","AUDUBON","IA","AUDUBON","3","3","31","34","48","48"
"1455","MERCY MEDICAL CENTER-NEW HAMPTON","NEW HAMPTON","IA","CHICKASAW","8","5","37","44","78","79"
"1456","MANNING REGIONAL HEALTHCARE CENTER","MANNING","IA","CARROLL","2","1","23","22","51","54"
"1457","STORY COUNTY HOSPITAL","NEVADA","IA","STORY","1","Not Available","19","18","48","53"
"1458","BUCHANAN COUNTY HEALTH CENTER","INDEPENDENCE","IA","BUCHANAN","6","6","29","30","69","74"
"1459","HEGG MEMORIAL HEALTH CENTER","ROCK VALLEY","IA","SIOUX","4","3","21","23","43","47"
"1460","VAN BUREN COUNTY HOSPITAL","KEOSAUQUA","IA","VAN BUREN","12","5","55","61","88","96"
"1461","MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN","OELWEIN","IA","FAYETTE","1","1","46","52","73","78"
"1462","WAVERLY HEALTH CENTER","WAVERLY","IA","BREMER","8","9","56","72","119","135"
"1463","DECATUR COUNTY HOSPITAL","LEON","IA","DECATUR","4","4","25","28","43","40"
"1464","LUCAS COUNTY HEALTH CENTER","CHARITON","IA","LUCAS","6","3","39","46","78","77"
"1465","MONROE COUNTY HOSPITAL","ALBIA","IA","MONROE","1","1","26","34","59","61"
"1466","REGIONAL MEDICAL CENTER","MANCHESTER","IA","DELAWARE","9","5","66","69","118","132"
"1467","WASHINGTON COUNTY HOSPITAL","WASHINGTON","IA","WASHINGTON","31","27","95","112","134","138"
"1468","OSCEOLA COMMUNITY HOSPITAL","SIBLEY","IA","OSCEOLA","3","2","39","38","26","26"
"1469","SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER","SIOUX CENTER","IA","SIOUX","9","6","28","30","78","85"
"1470","CLARKE COUNTY HOSPITAL","OSCEOLA","IA","CLARKE","6","4","19","24","55","61"
"1471","STEWART MEMORIAL COMMUNITY HOSPITAL","LAKE CITY","IA","CALHOUN","2","2","59","67","128","132"
"1472","AVERA HOLY FAMILY HOSPITAL","ESTHERVILLE","IA","EMMET","19","19","81","87","99","105"
"1473","CLARINDA REGIONAL HEALTH CENTER","CLARINDA","IA","PAGE","11","5","35","32","116","113"
"1474","KOSSUTH REGIONAL HEALTH CENTER","ALGONA","IA","KOSSUTH","21","13","61","71","71","73"
"1475","HORN MEMORIAL HOSPITAL","IDA GROVE","IA","IDA","10","9","55","63","97","101"
"1476","KNOXVILLE HOSPITAL & CLINICS","KNOXVILLE","IA","MARION","8","6","62","77","98","101"
"1477","HENRY COUNTY HEALTH CENTER","MOUNT PLEASANT","IA","HENRY","15","14","60","66","107","112"
"1478","PALO ALTO COUNTY HOSPITAL","EMMETSBURG","IA","PALO ALTO","21","14","22","22","120","129"
"1479","WAYNE COUNTY HOSPITAL","CORYDON","IA","WAYNE","9","7","42","58","73","82"
"1480","BURGESS HEALTH CENTER","ONAWA","IA","MONONA","6","2","69","76","188","199"
"1481","ORANGE CITY AREA HEALTH SYSTEM","ORANGE CITY","IA","SIOUX","23","22","44","44","120","132"
"1482","VAN DIEST MEDICAL CENTER","WEBSTER CITY","IA","HAMILTON","12","13","128","158","194","196"
"1483","CHEROKEE REGIONAL MEDICAL CENTER","CHEROKEE","IA","CHEROKEE","12","10","74","78","170","181"
"1484","MONTGOMERY COUNTY MEMORIAL HOSPITAL","RED OAK","IA","MONTGOMERY","38","25","76","88","172","182"
"1485","JEFFERSON COUNTY HEALTH CENTER","FAIRFIELD","IA","JEFFERSON","16","9","55","61","93","92"
"1486","GREATER REGIONAL MEDICAL CENTER","CRESTON","IA","UNION","27","16","56","59","85","84"
"1487","SHENANDOAH MEDICAL CENTER","SHENANDOAH","IA","PAGE","3","2","26","27","109","105"
"1488","PELLA REGIONAL HEALTH CENTER","PELLA","IA","MARION","10","9","95","101","148","152"
"1489","FLOYD VALLEY HOSPITAL","LE MARS","IA","PLYMOUTH","12","8","96","112","122","126"
"1490","CRAWFORD COUNTY MEMORIAL HOSPITAL","DENISON","IA","CRAWFORD","15","11","70","86","93","91"
"1491","WINNESHIEK MEDICAL CENTER","DECORAH","IA","WINNESHIEK","26","21","89","103","152","167"
"1492","BOONE COUNTY HOSPITAL","BOONE","IA","BOONE","25","16","97","96","175","175"
"1493","RINGGOLD COUNTY HOSPITAL","MOUNT AYR","IA","RINGGOLD","7","5","42","48","58","58"
"1494","MYRTUE MEDICAL CENTER","HARLAN","IA","SHELBY","14","13","100","109","153","154"
"1495","BUENA VISTA REGIONAL MEDICAL CENTER","STORM LAKE","IA","BUENA VISTA","23","14","64","72","142","142"
"1496","CASS COUNTY MEMORIAL HOSPITAL","ATLANTIC","IA","CASS","14","11","77","89","140","135"
"1497","MERCY MEDICAL CENTER-CENTERVILLE","CENTERVILLE","IA","APPANOOSE","13","8","69","71","123","126"
"1498","MERCY MEDICAL CENTER-DYERSVILLE","DYERSVILLE","IA","DUBUQUE","2","2","5","6","9","7"
"1499","MAHASKA  HEALTH PARTNERSHIP","OSKALOOSA","IA","MAHASKA","10","8","120","141","134","136"
"1500","ELLSWORTH MUNICIPAL HOSPITAL","IOWA FALLS","IA","HARDIN","7","4","77","82","122","124"
"1501","SANFORD SHELDON MEDICAL CENTER","SHELDON","IA","OBRIEN","13","9","43","52","118","132"
"1502","NEWMAN REGIONAL HEALTH","EMPORIA","KS","LYON","53","36","179","208","193","180"
"1503","VIA CHRISTI HOSPITAL PITTSBURG INC","PITTSBURG","KS","CRAWFORD","129","105","188","229","268","264"
"1504","SAINT JOHN HOSPITAL","LEAVENWORTH","KS","LEAVENWORTH","29","22","112","131","90","98"
"1505","MERCY HOSPITAL INDEPENDENCE","INDEPENDENCE","KS","MONTGOMERY","16","7","83","101","91","95"
"1506","SALINA REGIONAL HEALTH CENTER","SALINA","KS","SALINE","166","184","138","154","326","344"
"1507","HAYS MEDICAL CENTER","HAYS","KS","ELLIS","294","331","258","322","289","319"
"1508","RANSOM MEMORIAL HOSPITAL","OTTAWA","KS","FRANKLIN","21","12","83","89","203","213"
"1509","ST FRANCIS HEALTH CENTER INC","TOPEKA","KS","SHAWNEE","230","244","350","398","410","439"
"1510","SUSAN B ALLEN MEMORIAL HOSPITAL","EL DORADO","KS","BUTLER","13","10","99","114","142","148"
"1511","HUTCHINSON REGIONAL MEDICAL CENTER INC","HUTCHINSON","KS","RENO","250","269","291","330","604","619"
"1512","ST CATHERINE HOSPITAL","GARDEN CITY","KS","FINNEY","53","46","63","65","127","135"
"1513","PRATT REGIONAL MEDICAL CENTER","PRATT","KS","PRATT","10","5","85","87","130","138"
"1514","SUMNER REGIONAL MEDICAL CENTER","WELLINGTON","KS","SUMNER","4","1","35","40","102","106"
"1515","UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY","KS","WYANDOTTE","147","182","323","432","215","245"
"1516","OLATHE MEDICAL CENTER","OLATHE","KS","JOHNSON","223","222","414","488","365","385"
"1517","MERCY HOSPITAL-FORT SCOTT","FORT SCOTT","KS","BOURBON","24","15","111","125","195","192"
"1518","SOUTHWEST MEDICAL CENTER","LIBERAL","KS","SEWARD","18","9","60","64","72","67"
"1519","VA EASTERN KANSAS HEALTHCARE SYSTEM","LEAVENWORTH,                  ","KS","LEAVENWORTH","42","33","180","219","186","204"
"1520","GEARY COMMUNITY HOSPITAL","JUNCTION CITY","KS","GEARY","16","13","71","86","143","141"
"1521","MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","9","7","47","49","62","62"
"1522","STORMONT-VAIL HEALTHCARE","TOPEKA","KS","SHAWNEE","351","373","539","656","642","663"
"1523","WICHITA VA MEDICAL CENTER","WICHITA                       ","KS","SEDGWICK","54","61","101","131","100","104"
"1524","COFFEY COUNTY HOSPITAL","BURLINGTON","KS","COFFEY","11","3","115","121","164","167"
"1525","NEWTON MEDICAL CENTER","NEWTON","KS","HARVEY","59","48","201","219","228","223"
"1526","SHAWNEE MISSION MEDICAL CENTER","SHAWNEE MISSION","KS","JOHNSON","284","294","610","716","580","605"
"1527","MCPHERSON HOSPITAL INC","MCPHERSON","KS","MCPHERSON","14","11","72","80","135","151"
"1528","MIAMI COUNTY MEDICAL CENTER","PAOLA","KS","MIAMI","9","6","19","28","41","43"
"1529","BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL","ULYSSES","KS","GRANT","5","3","26","27","44","43"
"1530","LABETTE HEALTH","PARSONS","KS","LABETTE","23","10","100","106","144","153"
"1531","VIA CHRISTI HOSPITALS WICHITA INC","WICHITA","KS","SEDGWICK","775","774","992","1185","922","1011"
"1532","WESLEY MEDICAL CENTER","WICHITA","KS","SEDGWICK","401","422","473","531","489","509"
"1533","CUSHING MEMORIAL HOSPITAL","LEAVENWORTH","KS","LEAVENWORTH","12","5","55","65","102","104"
"1534","LAWRENCE MEMORIAL HOSPITAL","LAWRENCE","KS","DOUGLAS","124","121","202","241","199","209"
"1535","MERCY REGIONAL HEALTH CENTER","MANHATTAN","KS","RILEY","100","99","123","145","225","234"
"1536","COFFEYVILLE REGIONAL MEDICAL CENTER","COFFEYVILLE","KS","MONTGOMERY","52","37","186","237","343","375"
"1537","PROVIDENCE MEDICAL CENTER","KANSAS CITY","KS","WYANDOTTE","143","137","344","394","227","234"
"1538","SOUTH CENTRAL KS  MED CENTER","ARKANSAS CITY","KS","COWLEY","19","12","52","61","85","77"
"1539","MORTON COUNTY HOSPITAL","ELKHART","KS","MORTON","11","9","99","110","106","107"
"1540","WESTERN PLAINS MEDICAL COMPLEX","DODGE CITY","KS","FORD","59","50","111","112","199","201"
"1541","OVERLAND PARK REG MED CTR","OVERLAND PARK","KS","JOHNSON","102","93","189","220","140","151"
"1542","MENORAH MEDICAL CENTER","OVERLAND PARK","KS","JOHNSON","70","63","217","263","218","225"
"1543","KANSAS SURGERY & RECOVERY CENTER","WICHITA","KS","SEDGWICK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1544","SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK","KS","JOHNSON","96","90","233","296","211","229"
"1545","KANSAS HEART HOSPITAL","WICHITA","KS","SEDGWICK","250","311","177","238","11","15"
"1546","SALINA SURGICAL HOSPITAL","SALINA","KS","SALINE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1547","KANSAS CITY ORTHOPAEDIC INSTITUTE","LEAWOOD","KS","JOHNSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1548","MANHATTAN SURGICAL HOSPITAL LLC","MANHATTAN","KS","RILEY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1549","GREAT BEND REGIONAL HOSPITAL","GREAT BEND","KS","BARTON","7","5","23","24","57","48"
"1550","GALICHIA HEART HOSPITAL LLC","WICHITA","KS","SEDGWICK","148","165","360","461","178","209"
"1551","DOCTORS HOSPITAL LLC","LEAWOOD","KS","JOHNSON","Not Available","Not Available","1","1","Not Available","Not Available"
"1552","HEARTLAND SURGICAL SPEC HOSPITAL","OVERLAND PARK","KS","JOHNSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1553","KANSAS SPINE HOSPITAL LLC","WICHITA","KS","SEDGWICK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1554","KANSAS MEDICAL CENTER LLC","ANDOVER","KS","BUTLER","111","127","135","169","68","76"
"1555","SUMMIT SURGICAL LLC","HUTCHINSON","KS","RENO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1556","MINIMALLY INVASIVE SURGERY HOSPITAL","LENEXA","KS","JOHNSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"1557","VIA CHRISTI HOSPITAL WICHITA ST TERESA INC","WICHITA","KS","SEDGWICK","9","8","27","25","36","42"
"1558","GRISELL MEMORIAL HOSPITAL DISTRICT #1","RANSOM","KS","NESS","Not Available","Not Available","3","2","22","24"
